courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 2,1,2010-2011,Z,4L,2016-23021
CMSC 150,1,2007-2008,X,5L,2010-96393
CMSC 22,1,2013-2014,Z,2L,2017-39508
CMSC 124,1,2013-2014,Z,6L,2013-38113
CMSC 190-1,2,2015-2016,Z,1L,2011-59644
CMSC 124,2,2007-2008,Y,6L,2012-39689
CMSC 150,1,2009-2010,U,3L,2018-55641
CMSC 191,1,2009-2010,W,4L,2011-92318
CMSC 11,2,2009-2010,U,4L,2011-92765
CMSC 132,2,2006-2007,X,6L,2011-10950
CMSC 11,1,2006-2007,U,1L,2013-50905
CMSC 22,1,2014-2015,W,6L,2014-46659
CMSC 150,1,2007-2008,Z,2L,2010-31449
CMSC 124,1,2009-2010,V,1L,2010-46090
CMSC 161,1,2013-2014,Y,6L,2019-47174
CMSC 170,2,2010-2011,Z,4L,2014-83889
CMSC 21,1,2015-2016,X,2L,2013-58019
CMSC 22,2,2006-2007,Z,5L,2010-94616
CMSC 161,1,2009-2010,V,4L,2018-80993
CMSC 165,2,2011-2012,W,4L,2012-16184
CMSC 132,2,2008-2009,Z,5L,2012-91781
CMSC 161,2,2007-2008,V,2L,2016-69337
CMSC 165,2,2014-2015,X,2L,2019-98176
CMSC 11,2,2007-2008,Z,1L,2011-60161
CMSC 170,2,2006-2007,V,3L,2016-54716
CMSC 132,1,2010-2011,V,6L,2013-98605
CMSC 170,2,2010-2011,X,1L,2015-63578
CMSC 21,1,2008-2009,W,4L,2017-92369
CMSC 132,1,2008-2009,W,3L,2012-90250
CMSC 21,2,2014-2015,Z,1L,2014-43090
CMSC 198,1,2012-2013,Y,4L,2017-37879
CMSC 125,2,2012-2013,Z,1L,2010-33499
CMSC 21,2,2015-2016,Y,4L,2019-83302
CMSC 191,1,2013-2014,W,3L,2010-67740
CMSC 161,1,2009-2010,V,2L,2019-86160
CMSC 190-1,2,2008-2009,Y,4L,2018-13337
CMSC 161,1,2013-2014,V,4L,2017-36781
CMSC 150,1,2009-2010,U,3L,2019-40274
CMSC 125,2,2008-2009,V,1L,2016-36805
CMSC 22,1,2015-2016,U,5L,2015-00035
CMSC 130,1,2009-2010,U,6L,2017-96461
CMSC 123,2,2014-2015,Y,5L,2016-36288
CMSC 125,2,2007-2008,Y,6L,2012-88222
CMSC 123,1,2009-2010,V,3L,2014-88022
CMSC 2,1,2014-2015,X,2L,2014-34646
CMSC 131,2,2015-2016,U,5L,2019-73366
CMSC 123,1,2006-2007,W,2L,2018-03829
CMSC 128,1,2013-2014,W,5L,2014-12255
CMSC 2,2,2006-2007,Y,6L,2013-62595
CMSC 21,1,2009-2010,W,4L,2014-96446
CMSC 150,1,2013-2014,Z,4L,2018-18616
CMSC 22,1,2011-2012,U,5L,2018-57146
CMSC 150,1,2007-2008,X,3L,2013-76411
CMSC 130,2,2012-2013,V,1L,2010-14480
CMSC 128,1,2012-2013,X,6L,2015-74782
CMSC 190-2,1,2009-2010,X,4L,2019-91774
CMSC 161,1,2009-2010,U,5L,2013-00106
CMSC 190-1,2,2006-2007,U,3L,2010-01499
CMSC 11,1,2013-2014,W,2L,2015-50841
CMSC 165,2,2015-2016,Y,2L,2015-65550
CMSC 131,1,2013-2014,X,1L,2015-45487
CMSC 2,1,2010-2011,X,6L,2012-32362
CMSC 161,1,2010-2011,Y,5L,2012-43251
CMSC 191,2,2011-2012,V,1L,2010-54489
CMSC 131,2,2011-2012,Y,3L,2018-99104
CMSC 131,1,2011-2012,X,5L,2018-32030
CMSC 2,2,2015-2016,V,3L,2019-07194
CMSC 22,1,2015-2016,Z,3L,2011-33501
CMSC 190-2,2,2007-2008,Z,4L,2015-26462
CMSC 22,1,2010-2011,V,3L,2010-49658
CMSC 123,1,2006-2007,Z,6L,2017-16710
CMSC 190-2,1,2013-2014,W,6L,2019-85709
CMSC 21,2,2013-2014,Y,1L,2013-92675
CMSC 150,2,2012-2013,U,1L,2016-26918
CMSC 170,1,2014-2015,V,5L,2014-02814
CMSC 131,2,2011-2012,U,1L,2010-26117
CMSC 2,1,2015-2016,Z,4L,2018-47016
CMSC 22,2,2007-2008,U,5L,2013-14967
CMSC 123,2,2008-2009,V,2L,2015-38624
CMSC 2,1,2011-2012,Y,3L,2018-45325
CMSC 131,2,2011-2012,V,4L,2019-78019
CMSC 190-1,1,2007-2008,X,3L,2014-04322
CMSC 130,2,2010-2011,W,4L,2013-04998
CMSC 123,2,2006-2007,U,1L,2010-08058
CMSC 11,2,2012-2013,U,1L,2017-28325
CMSC 2,1,2011-2012,Z,3L,2018-45300
CMSC 170,2,2008-2009,V,4L,2010-19859
CMSC 131,2,2007-2008,W,4L,2013-87765
CMSC 131,2,2007-2008,Y,1L,2015-42955
CMSC 2,2,2008-2009,Z,3L,2016-14957
CMSC 190-1,1,2008-2009,U,5L,2015-07094
CMSC 198,1,2007-2008,X,4L,2010-67466
CMSC 190-2,2,2009-2010,X,1L,2012-45908
CMSC 190-2,2,2008-2009,V,3L,2017-66126
CMSC 132,2,2008-2009,V,4L,2017-68889
CMSC 170,1,2008-2009,V,6L,2012-56057
CMSC 150,2,2008-2009,V,1L,2017-67485
CMSC 161,1,2013-2014,V,5L,2014-24919
CMSC 124,1,2006-2007,U,5L,2011-64917
CMSC 191,1,2007-2008,Y,2L,2016-21021
CMSC 191,2,2009-2010,Z,6L,2015-19021
CMSC 161,2,2012-2013,Z,3L,2014-37032
CMSC 131,1,2010-2011,W,2L,2010-48628
CMSC 191,1,2011-2012,U,1L,2010-04716
CMSC 190-2,2,2010-2011,X,3L,2018-73253
CMSC 2,1,2011-2012,Y,1L,2012-74329
CMSC 123,1,2012-2013,Z,5L,2012-67377
CMSC 2,1,2012-2013,V,6L,2014-13265
CMSC 191,1,2014-2015,V,5L,2013-44742
CMSC 21,1,2015-2016,Y,1L,2015-30545
CMSC 131,2,2011-2012,Y,1L,2014-88907
CMSC 165,2,2008-2009,Y,2L,2017-72772
CMSC 165,2,2008-2009,Z,6L,2016-59131
CMSC 191,2,2012-2013,Y,6L,2014-24829
CMSC 2,1,2008-2009,Z,5L,2010-66176
CMSC 124,2,2006-2007,W,2L,2015-97505
CMSC 161,2,2010-2011,V,2L,2019-41754
CMSC 190-2,1,2006-2007,W,1L,2019-75966
CMSC 21,2,2014-2015,U,5L,2013-66177
CMSC 161,2,2013-2014,X,4L,2017-08734
CMSC 11,1,2015-2016,X,3L,2018-89701
CMSC 170,1,2010-2011,V,2L,2012-83095
CMSC 21,1,2015-2016,Y,4L,2019-27623
CMSC 123,1,2011-2012,V,2L,2016-89348
CMSC 11,1,2013-2014,Z,1L,2017-78007
CMSC 132,1,2010-2011,V,6L,2014-19034
CMSC 128,2,2013-2014,V,1L,2015-11273
CMSC 198,1,2010-2011,X,4L,2010-15073
CMSC 130,1,2011-2012,U,6L,2013-85081
CMSC 124,1,2012-2013,W,5L,2018-47037
CMSC 132,2,2012-2013,V,6L,2016-30796
CMSC 130,2,2011-2012,W,5L,2016-68748
CMSC 125,1,2007-2008,Y,1L,2015-14097
CMSC 21,1,2012-2013,Z,2L,2015-15493
CMSC 131,1,2007-2008,Z,4L,2011-53369
CMSC 131,2,2009-2010,Y,5L,2012-31878
CMSC 130,1,2012-2013,X,6L,2012-63310
CMSC 11,2,2007-2008,Z,3L,2012-86324
CMSC 170,2,2014-2015,Y,4L,2011-84960
CMSC 150,2,2007-2008,Z,1L,2013-24370
CMSC 198,1,2008-2009,X,2L,2018-62703
CMSC 132,2,2014-2015,V,5L,2012-92729
CMSC 131,1,2014-2015,W,4L,2018-67998
CMSC 2,1,2012-2013,X,2L,2016-04728
CMSC 21,2,2014-2015,V,6L,2010-60799
CMSC 128,2,2010-2011,U,2L,2016-50469
CMSC 150,2,2015-2016,Y,2L,2019-50390
CMSC 131,1,2010-2011,Z,2L,2016-56989
CMSC 125,1,2015-2016,W,2L,2016-94745
CMSC 123,2,2014-2015,U,6L,2019-53288
CMSC 150,2,2015-2016,X,1L,2018-78462
CMSC 11,1,2008-2009,W,5L,2018-09865
CMSC 150,1,2008-2009,Y,1L,2019-22978
CMSC 191,2,2014-2015,Z,1L,2016-34984
CMSC 150,1,2014-2015,X,4L,2016-87838
CMSC 21,2,2012-2013,V,5L,2012-46988
CMSC 124,1,2011-2012,Z,6L,2011-87973
CMSC 2,1,2013-2014,W,6L,2014-64954
CMSC 132,2,2007-2008,U,4L,2010-98988
CMSC 125,1,2009-2010,V,6L,2019-61206
CMSC 123,1,2015-2016,U,1L,2012-17115
CMSC 150,1,2012-2013,U,6L,2013-86557
CMSC 190-1,1,2006-2007,Y,4L,2017-25658
CMSC 132,1,2011-2012,U,2L,2010-78081
CMSC 198,1,2014-2015,Z,3L,2014-20913
CMSC 125,2,2007-2008,U,2L,2013-37874
CMSC 128,1,2006-2007,Z,4L,2017-81275
CMSC 161,2,2010-2011,Z,1L,2011-11313
CMSC 161,2,2011-2012,X,2L,2010-45866
CMSC 198,1,2008-2009,Y,4L,2015-65489
CMSC 150,2,2011-2012,X,3L,2010-29620
CMSC 198,2,2009-2010,Y,6L,2017-28684
CMSC 124,2,2012-2013,X,5L,2010-71259
CMSC 21,2,2008-2009,Z,2L,2011-46548
CMSC 161,1,2012-2013,Y,2L,2010-17520
CMSC 190-2,1,2010-2011,X,3L,2015-69907
CMSC 123,2,2008-2009,X,2L,2011-41344
CMSC 2,2,2008-2009,Y,5L,2017-41069
CMSC 128,1,2013-2014,Y,5L,2010-01054
CMSC 170,1,2008-2009,V,4L,2018-13147
CMSC 198,1,2012-2013,U,3L,2014-42951
CMSC 190-1,1,2012-2013,Y,4L,2019-18774
CMSC 2,2,2013-2014,X,3L,2017-92880
CMSC 150,2,2013-2014,W,3L,2016-83689
CMSC 170,2,2013-2014,U,3L,2019-47744
CMSC 132,2,2008-2009,X,6L,2016-70466
CMSC 190-2,2,2012-2013,X,1L,2017-95775
CMSC 131,1,2014-2015,U,4L,2011-10816
CMSC 190-1,1,2007-2008,U,3L,2019-43316
CMSC 123,2,2010-2011,X,2L,2017-73610
CMSC 131,1,2015-2016,Y,1L,2013-06116
CMSC 125,2,2009-2010,Z,4L,2017-25617
CMSC 190-1,1,2009-2010,W,4L,2015-46103
CMSC 125,1,2013-2014,Y,1L,2013-07311
CMSC 131,2,2013-2014,V,5L,2015-84575
CMSC 198,2,2015-2016,X,1L,2014-61923
CMSC 191,2,2011-2012,W,1L,2011-56829
CMSC 130,2,2013-2014,Z,2L,2012-58933
CMSC 2,1,2013-2014,W,5L,2011-54254
CMSC 125,1,2012-2013,Z,5L,2013-33427
CMSC 21,2,2014-2015,Z,5L,2010-17076
CMSC 190-1,2,2012-2013,U,6L,2011-34929
CMSC 124,2,2010-2011,V,5L,2012-55368
CMSC 132,1,2007-2008,Z,3L,2013-31357
CMSC 190-2,2,2009-2010,Y,5L,2011-59398
CMSC 191,1,2009-2010,Y,5L,2012-04013
CMSC 130,1,2008-2009,Z,6L,2010-06319
CMSC 198,1,2006-2007,V,5L,2014-37199
CMSC 21,1,2008-2009,V,2L,2017-89548
CMSC 21,1,2007-2008,Y,1L,2010-58352
CMSC 22,1,2011-2012,W,4L,2011-92968
CMSC 124,1,2014-2015,U,1L,2019-23126
CMSC 191,1,2012-2013,Y,2L,2016-88506
CMSC 132,1,2015-2016,U,3L,2012-82946
CMSC 132,1,2013-2014,V,5L,2010-43379
CMSC 21,2,2015-2016,X,4L,2017-10918
CMSC 128,2,2015-2016,X,1L,2014-87828
CMSC 170,2,2012-2013,Z,2L,2019-94016
CMSC 170,2,2014-2015,V,2L,2012-29225
CMSC 21,2,2010-2011,U,3L,2012-40759
CMSC 190-2,2,2012-2013,Y,1L,2012-62634
CMSC 130,1,2009-2010,U,1L,2010-10431
CMSC 21,1,2011-2012,Z,5L,2014-13450
CMSC 124,2,2008-2009,Z,6L,2019-12090
CMSC 191,2,2007-2008,V,1L,2018-88647
CMSC 165,1,2015-2016,W,6L,2019-06472
CMSC 131,1,2009-2010,Y,4L,2014-55779
CMSC 11,2,2015-2016,W,3L,2014-18640
CMSC 21,1,2012-2013,X,3L,2011-00102
CMSC 123,2,2014-2015,U,2L,2016-37223
CMSC 190-1,1,2012-2013,Z,5L,2019-71741
CMSC 2,1,2007-2008,V,4L,2017-65618
CMSC 125,1,2010-2011,W,6L,2018-28371
CMSC 125,1,2007-2008,W,4L,2012-69432
CMSC 190-1,1,2006-2007,U,1L,2015-47565
CMSC 161,2,2015-2016,Z,1L,2010-42448
CMSC 132,1,2006-2007,Y,2L,2016-07131
CMSC 22,2,2010-2011,Y,2L,2018-39919
CMSC 128,1,2012-2013,X,3L,2019-35838
CMSC 165,2,2009-2010,W,1L,2015-00616
CMSC 170,2,2009-2010,X,4L,2011-70437
CMSC 128,1,2010-2011,U,1L,2016-04124
CMSC 125,1,2007-2008,Y,2L,2014-44345
CMSC 161,1,2006-2007,Y,1L,2018-40558
CMSC 128,2,2009-2010,Y,4L,2010-33816
CMSC 161,2,2006-2007,U,1L,2015-70824
CMSC 2,2,2007-2008,U,5L,2018-15107
CMSC 131,2,2013-2014,U,3L,2011-05048
CMSC 22,1,2012-2013,Z,6L,2018-68335
CMSC 131,1,2008-2009,Y,4L,2017-56726
CMSC 2,1,2006-2007,W,3L,2013-26576
CMSC 11,2,2014-2015,U,2L,2019-32031
CMSC 161,2,2013-2014,W,6L,2013-17115
CMSC 22,1,2009-2010,W,3L,2019-05664
CMSC 130,2,2011-2012,W,1L,2011-51011
CMSC 125,1,2009-2010,X,6L,2015-02495
CMSC 128,1,2012-2013,Y,2L,2016-00040
CMSC 150,2,2010-2011,Y,6L,2017-93503
CMSC 150,1,2007-2008,U,3L,2011-72198
CMSC 131,2,2009-2010,Z,4L,2010-21238
CMSC 170,1,2007-2008,Z,1L,2019-60943
CMSC 190-2,2,2009-2010,W,5L,2018-63582
CMSC 190-2,2,2006-2007,U,1L,2011-99994
CMSC 125,1,2007-2008,X,5L,2015-84975
CMSC 130,1,2007-2008,V,4L,2016-94107
CMSC 190-2,2,2011-2012,Y,5L,2011-12982
CMSC 191,1,2015-2016,V,4L,2013-40075
CMSC 125,1,2014-2015,Z,5L,2017-96716
CMSC 150,1,2014-2015,X,5L,2014-74107
CMSC 130,1,2006-2007,V,5L,2019-73478
CMSC 21,2,2007-2008,U,4L,2011-43063
CMSC 22,2,2012-2013,U,6L,2016-26417
CMSC 131,1,2014-2015,W,5L,2019-11294
CMSC 21,1,2014-2015,W,4L,2016-08957
CMSC 161,1,2011-2012,U,2L,2012-08759
CMSC 161,1,2010-2011,Y,4L,2019-02209
CMSC 161,1,2015-2016,V,4L,2017-73098
CMSC 191,2,2009-2010,Z,1L,2016-50095
CMSC 11,2,2014-2015,V,6L,2019-95794
CMSC 125,2,2013-2014,Z,3L,2016-50163
CMSC 150,2,2008-2009,W,1L,2010-39889
CMSC 190-2,1,2007-2008,V,4L,2017-31069
CMSC 11,1,2007-2008,Z,1L,2013-30515
CMSC 190-2,1,2010-2011,X,3L,2012-59331
CMSC 190-2,1,2011-2012,Y,1L,2016-31711
CMSC 21,1,2013-2014,Z,5L,2018-09175
CMSC 170,1,2010-2011,U,6L,2011-85026
CMSC 170,1,2008-2009,U,4L,2018-37614
CMSC 128,2,2009-2010,Y,4L,2014-02629
CMSC 161,2,2010-2011,U,3L,2014-23421
CMSC 198,2,2006-2007,Z,3L,2017-21646
CMSC 170,2,2011-2012,Y,1L,2011-66019
CMSC 132,1,2010-2011,V,6L,2014-80619
CMSC 132,2,2015-2016,Z,5L,2010-89672
CMSC 22,1,2015-2016,V,2L,2016-91176
CMSC 124,1,2012-2013,V,2L,2012-16903
CMSC 190-2,2,2006-2007,U,1L,2018-12113
CMSC 190-2,1,2011-2012,X,3L,2012-01447
CMSC 128,2,2007-2008,Y,5L,2010-45839
CMSC 11,1,2015-2016,X,1L,2019-69004
CMSC 2,1,2006-2007,V,3L,2018-69307
CMSC 128,1,2011-2012,X,1L,2018-91220
CMSC 124,1,2006-2007,U,6L,2010-58045
CMSC 125,1,2011-2012,Y,6L,2013-58891
CMSC 21,2,2012-2013,U,5L,2011-26950
CMSC 11,1,2008-2009,Z,4L,2018-64567
CMSC 131,1,2007-2008,Y,6L,2019-46570
CMSC 11,1,2009-2010,X,1L,2019-89051
CMSC 2,2,2013-2014,U,5L,2018-91858
CMSC 198,2,2012-2013,Y,5L,2017-15324
CMSC 170,1,2015-2016,Z,2L,2013-87201
CMSC 165,2,2011-2012,X,4L,2016-14330
CMSC 21,1,2011-2012,Z,2L,2019-39358
CMSC 198,1,2013-2014,U,3L,2013-86801
CMSC 170,1,2010-2011,Y,4L,2018-06770
CMSC 170,2,2006-2007,U,5L,2013-09611
CMSC 150,1,2006-2007,X,3L,2012-22422
CMSC 124,1,2007-2008,Y,2L,2015-81298
CMSC 2,2,2015-2016,X,1L,2013-24991
CMSC 132,2,2012-2013,Z,6L,2013-09943
CMSC 131,1,2009-2010,V,6L,2015-54660
CMSC 161,2,2008-2009,Y,1L,2013-17522
CMSC 165,1,2015-2016,Y,4L,2013-83588
CMSC 132,1,2009-2010,X,6L,2015-28011
CMSC 21,2,2014-2015,X,4L,2010-02023
CMSC 190-1,1,2010-2011,Y,2L,2012-40260
CMSC 124,1,2013-2014,Z,3L,2019-15811
CMSC 125,2,2011-2012,U,4L,2013-27381
CMSC 190-1,2,2015-2016,Y,3L,2019-75078
CMSC 191,2,2014-2015,W,5L,2016-99234
CMSC 11,2,2011-2012,Z,6L,2014-35391
CMSC 124,1,2015-2016,U,5L,2019-40774
CMSC 125,1,2010-2011,V,3L,2013-68143
CMSC 130,2,2015-2016,V,5L,2017-62356
CMSC 123,2,2015-2016,V,3L,2011-10024
CMSC 190-1,1,2008-2009,Y,3L,2010-28303
CMSC 191,2,2015-2016,V,3L,2016-91638
CMSC 2,2,2011-2012,V,6L,2015-79233
CMSC 21,1,2015-2016,Y,3L,2015-72099
CMSC 190-1,2,2006-2007,Z,2L,2019-79338
CMSC 165,1,2006-2007,Y,6L,2019-56603
CMSC 190-1,1,2014-2015,W,3L,2013-14110
CMSC 123,1,2013-2014,Z,4L,2019-34412
CMSC 198,1,2014-2015,Z,4L,2016-53426
CMSC 130,1,2006-2007,W,1L,2011-39957
CMSC 130,2,2007-2008,Z,1L,2013-88137
CMSC 124,1,2007-2008,V,3L,2015-93651
CMSC 198,2,2009-2010,V,6L,2016-32458
CMSC 190-1,1,2014-2015,Z,3L,2019-17267
CMSC 21,2,2015-2016,Y,4L,2014-24633
CMSC 11,1,2015-2016,U,1L,2012-55663
CMSC 2,2,2009-2010,Z,6L,2017-80897
CMSC 131,2,2008-2009,X,6L,2017-65186
CMSC 170,2,2010-2011,U,6L,2011-35651
CMSC 161,1,2010-2011,V,6L,2019-76125
CMSC 130,1,2015-2016,W,1L,2017-36773
CMSC 131,1,2011-2012,X,5L,2017-23511
CMSC 191,1,2008-2009,U,1L,2012-38810
CMSC 131,2,2009-2010,U,6L,2012-75990
CMSC 150,2,2013-2014,V,5L,2019-12263
CMSC 191,2,2010-2011,U,3L,2019-53499
CMSC 123,2,2011-2012,X,2L,2017-04742
CMSC 21,1,2007-2008,U,5L,2017-64260
CMSC 190-1,2,2013-2014,Z,1L,2014-46428
CMSC 131,1,2014-2015,V,3L,2012-72756
CMSC 161,1,2010-2011,U,6L,2011-22900
CMSC 21,1,2011-2012,X,3L,2013-07400
CMSC 165,1,2010-2011,V,5L,2016-51455
CMSC 125,2,2013-2014,X,6L,2013-70636
CMSC 132,1,2006-2007,U,2L,2014-06464
CMSC 150,2,2013-2014,Z,5L,2010-84526
CMSC 131,1,2012-2013,X,6L,2011-04965
CMSC 131,1,2011-2012,V,5L,2019-17536
CMSC 190-2,1,2010-2011,V,3L,2017-35689
CMSC 128,1,2011-2012,V,3L,2018-58970
CMSC 132,1,2014-2015,W,3L,2017-24259
CMSC 11,1,2012-2013,W,4L,2017-52814
CMSC 21,1,2015-2016,V,5L,2010-58190
CMSC 21,1,2007-2008,Y,1L,2018-58116
CMSC 131,2,2013-2014,V,3L,2018-45267
CMSC 11,1,2009-2010,V,4L,2010-54464
CMSC 125,2,2012-2013,Y,1L,2014-88479
CMSC 191,1,2013-2014,Z,6L,2019-48806
CMSC 128,2,2006-2007,Y,5L,2017-80490
CMSC 132,1,2006-2007,Y,4L,2014-24113
CMSC 125,1,2006-2007,Z,3L,2013-88438
CMSC 161,2,2011-2012,V,6L,2012-20087
CMSC 130,2,2008-2009,V,6L,2017-07428
CMSC 125,1,2006-2007,W,5L,2017-71420
CMSC 123,2,2008-2009,Z,6L,2019-05430
CMSC 190-1,2,2014-2015,V,1L,2013-60255
CMSC 191,2,2006-2007,U,3L,2013-56465
CMSC 123,2,2006-2007,U,1L,2016-24818
CMSC 125,1,2009-2010,V,1L,2019-45497
CMSC 128,1,2011-2012,Z,1L,2010-36068
CMSC 131,2,2011-2012,X,6L,2012-93089
CMSC 22,2,2009-2010,Y,3L,2011-74864
CMSC 21,2,2013-2014,U,5L,2012-59199
CMSC 2,2,2006-2007,W,6L,2018-02495
CMSC 11,2,2009-2010,V,2L,2017-84019
CMSC 131,2,2015-2016,U,3L,2017-58141
CMSC 128,1,2013-2014,W,1L,2012-29046
CMSC 150,2,2014-2015,Y,6L,2014-81344
CMSC 125,2,2006-2007,V,6L,2019-96048
CMSC 131,2,2010-2011,U,1L,2016-51032
CMSC 11,1,2013-2014,U,2L,2015-64098
CMSC 132,1,2010-2011,V,1L,2016-13732
CMSC 130,2,2006-2007,Y,4L,2012-19224
CMSC 132,1,2013-2014,Z,5L,2018-44539
CMSC 190-1,1,2014-2015,Y,1L,2010-75000
CMSC 150,1,2014-2015,X,2L,2017-92178
CMSC 130,2,2011-2012,X,3L,2013-01398
CMSC 123,1,2015-2016,U,6L,2011-98854
CMSC 123,1,2009-2010,X,3L,2012-90200
CMSC 124,1,2009-2010,Y,4L,2014-74921
CMSC 21,2,2008-2009,Z,2L,2016-29811
CMSC 170,1,2008-2009,Y,3L,2014-65317
CMSC 11,1,2011-2012,Y,1L,2012-56868
CMSC 130,2,2007-2008,Y,1L,2017-57960
CMSC 191,1,2014-2015,X,3L,2016-94901
CMSC 190-2,1,2007-2008,W,5L,2013-62984
CMSC 165,2,2015-2016,Y,3L,2013-59762
CMSC 2,1,2015-2016,V,3L,2014-03645
CMSC 128,2,2011-2012,V,5L,2012-86023
CMSC 123,2,2007-2008,U,4L,2017-45492
CMSC 198,1,2011-2012,X,1L,2013-75098
CMSC 21,1,2006-2007,X,6L,2013-20073
CMSC 190-2,1,2006-2007,X,5L,2015-95839
CMSC 11,1,2012-2013,W,4L,2015-25024
CMSC 131,1,2013-2014,W,1L,2016-80514
CMSC 191,2,2011-2012,Y,2L,2010-25255
CMSC 150,2,2011-2012,U,6L,2010-04942
CMSC 198,1,2015-2016,Z,1L,2013-80777
CMSC 198,1,2008-2009,X,6L,2018-87548
CMSC 130,1,2011-2012,W,5L,2014-72405
CMSC 170,2,2008-2009,U,2L,2012-76192
CMSC 125,2,2012-2013,U,6L,2015-35586
CMSC 150,1,2015-2016,V,3L,2011-08467
CMSC 170,1,2014-2015,X,6L,2012-36423
CMSC 131,1,2011-2012,Y,3L,2012-98340
CMSC 125,1,2008-2009,W,5L,2013-45977
CMSC 191,1,2009-2010,X,3L,2019-47233
CMSC 191,2,2012-2013,U,1L,2012-33585
CMSC 190-2,2,2010-2011,U,1L,2014-48857
CMSC 2,2,2008-2009,U,5L,2010-03161
CMSC 128,1,2010-2011,Z,5L,2017-91815
CMSC 130,2,2007-2008,Z,4L,2017-44180
CMSC 132,1,2010-2011,Y,4L,2017-31144
CMSC 131,2,2011-2012,X,3L,2015-69663
CMSC 170,2,2011-2012,Y,5L,2017-84226
CMSC 11,2,2009-2010,U,4L,2016-09280
CMSC 190-2,1,2014-2015,U,1L,2017-09958
CMSC 191,2,2009-2010,Z,6L,2011-66519
CMSC 132,2,2015-2016,X,6L,2015-56195
CMSC 124,1,2013-2014,V,4L,2011-56517
CMSC 21,1,2015-2016,X,4L,2011-85382
CMSC 132,1,2014-2015,V,1L,2018-75594
CMSC 132,1,2012-2013,Z,6L,2011-41821
CMSC 123,1,2011-2012,W,2L,2015-40222
CMSC 132,1,2009-2010,U,2L,2012-31490
CMSC 170,2,2013-2014,V,3L,2018-85191
CMSC 161,1,2012-2013,U,4L,2016-54683
CMSC 165,2,2009-2010,W,5L,2018-89828
CMSC 21,2,2008-2009,U,3L,2014-15214
CMSC 198,1,2015-2016,U,3L,2019-47492
CMSC 190-1,1,2008-2009,U,2L,2012-13184
CMSC 132,1,2009-2010,W,4L,2011-97412
CMSC 161,2,2013-2014,V,5L,2013-01243
CMSC 165,1,2012-2013,X,6L,2015-66048
CMSC 11,2,2008-2009,V,5L,2017-79858
CMSC 161,1,2015-2016,W,3L,2015-27469
CMSC 21,1,2015-2016,X,3L,2019-57502
CMSC 150,1,2006-2007,Z,5L,2017-45378
﻿courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 165,2,2009-2010,W,4L,2019-26334
CMSC 131,1,2012-2013,W,3L,2014-34921
CMSC 125,2,2006-2007,V,5L,2017-24266
CMSC 128,1,2015-2016,U,4L,2012-99287
CMSC 190-2,1,2006-2007,V,6L,2012-45534
CMSC 130,1,2011-2012,U,3L,2017-32338
CMSC 161,2,2008-2009,V,6L,2016-31457
CMSC 191,1,2007-2008,X,1L,2014-89689
CMSC 165,1,2007-2008,X,3L,2011-55041
CMSC 124,2,2012-2013,W,6L,2015-27323
CMSC 170,1,2006-2007,X,1L,2019-13352
CMSC 11,2,2009-2010,X,6L,2019-25588
CMSC 131,2,2010-2011,U,2L,2014-56160
CMSC 21,1,2013-2014,X,6L,2012-97666
CMSC 190-1,2,2012-2013,X,5L,2017-56629
CMSC 22,1,2006-2007,V,2L,2016-64931
CMSC 165,1,2014-2015,W,2L,2016-70771
CMSC 11,1,2015-2016,Y,1L,2019-47925
CMSC 123,2,2010-2011,X,5L,2012-28913
CMSC 2,2,2014-2015,Z,1L,2011-96572
CMSC 161,1,2011-2012,Z,3L,2012-59624
CMSC 190-2,1,2008-2009,V,4L,2014-69618
CMSC 124,2,2009-2010,U,3L,2016-54746
CMSC 165,2,2008-2009,Z,6L,2017-32111
CMSC 124,2,2012-2013,U,4L,2010-38982
CMSC 190-2,2,2009-2010,Y,6L,2011-06723
CMSC 190-1,2,2008-2009,Z,6L,2010-45319
CMSC 198,1,2012-2013,X,3L,2018-55936
CMSC 198,1,2008-2009,W,4L,2017-89528
CMSC 170,2,2015-2016,X,4L,2018-75013
CMSC 11,1,2006-2007,U,1L,2013-72850
CMSC 161,1,2010-2011,Z,1L,2012-41401
CMSC 124,1,2009-2010,Y,1L,2015-47825
CMSC 130,1,2006-2007,Z,6L,2015-42290
CMSC 170,2,2006-2007,Z,2L,2019-18014
CMSC 165,1,2012-2013,Z,3L,2010-49636
CMSC 11,1,2012-2013,Y,5L,2015-16131
CMSC 2,2,2008-2009,Y,1L,2012-39765
CMSC 198,2,2007-2008,Z,1L,2014-56204
CMSC 170,2,2006-2007,X,6L,2014-57621
CMSC 131,2,2008-2009,V,4L,2015-75232
CMSC 125,1,2007-2008,Z,1L,2012-69396
CMSC 130,2,2013-2014,Y,2L,2010-44392
CMSC 130,1,2008-2009,Y,2L,2017-47474
CMSC 22,1,2012-2013,V,1L,2018-42120
CMSC 131,2,2013-2014,V,2L,2011-16076
CMSC 132,1,2009-2010,U,6L,2014-70661
CMSC 124,2,2007-2008,U,3L,2016-48657
CMSC 132,2,2009-2010,X,2L,2013-00875
CMSC 190-1,2,2006-2007,Y,4L,2015-58650
CMSC 131,1,2006-2007,V,6L,2018-36094
CMSC 11,2,2008-2009,X,3L,2014-58373
